TEAM,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL
TEAM,KILLS,DEATHS,ASSISTS,GOLD,DAMAGE,LORD KILLS,TORTOISE KILLS,TOWERS DESTROY
FCAP,381,336,925,1803303,6606523,48,58,227
TLPH,381,374,951,1552160,5319852,36,51,158
FNOP,429,275,1022,1738339,5868505,50,65,249
OMG,415,339,1032,1621795,5694930,36,53,202
BLCK,290,356,735,1531109,5005413,27,27,130
TNC,318,463,735,1536158,5590929,24,47,144
RSG,283,367,739,1440823,4534863,21,41,132
RORA,389,379,965,1668206,6012931,34,41,203
